timestamp,temp_humidity_c,temp_pressure_c,humidty_rh,pressure_mbar,cpu_temp_c,load_avg_percent,avg_ping_google_ms,min_ping_google_ms,max_ping_google_ms
2020-04-28 13:37:16.918756,39.72,38.40,34.22,1009.19,52.58,0.39,70.809,24.079,119.097
2020-04-28 13:38:02.698879,39.72,38.39,33.99,1009.19,50.15,0.40,31.344,19.163,45.298
2020-04-28 13:39:01.846636,39.65,38.44,33.95,1009.18,49.17,0.36,56.886,28.840,89.964
2020-04-28 13:40:02.040809,39.65,38.37,34.22,1009.16,50.63,0.34,18.266,15.043,20.926
2020-04-28 13:41:02.202838,39.55,38.37,34.28,1009.19,50.15,0.30,20.938,15.066,26.915
2020-04-28 13:42:02.353538,39.61,38.32,34.28,1009.17,51.12,0.29,59.365,23.033,101.396
2020-04-28 13:43:02.614575,39.55,38.24,34.26,1009.12,51.12,0.28,37.426,16.807,99.617
2020-04-28 13:44:01.883596,39.59,38.27,34.52,1009.10,51.12,0.26,44.961,17.753,95.343
2020-04-28 13:45:02.099027,39.32,38.12,34.37,1009.09,50.63,0.26,57.302,17.541,168.439
2020-04-28 13:46:16.535216,39.34,0,33.82,0,51.12,0.15,36.961,16.383,57.051
2020-04-28 13:47:02.672728,39.34,38.13,34.37,1009.04,50.63,0.16,35.118,16.609,80.179
2020-04-28 13:48:01.890922,39.19,37.91,34.73,1009.06,49.66,0.18,23.383,18.011,36.962
2020-04-28 13:49:02.008893,38.90,37.65,34.69,1009.05,50.63,0.19,35.269,20.538,52.052
2020-04-28 13:50:02.123618,38.95,37.60,34.73,1009.07,51.61,0.20,23.638,16.682,30.364
2020-04-28 13:51:02.261852,38.70,37.46,34.78,1009.02,49.66,0.19,23.695,15.707,37.930
2020-04-28 13:52:02.472863,38.72,37.41,34.90,1009.02,49.66,0.22,20.820,17.232,24.279
2020-04-28 13:53:02.640056,38.68,37.41,35.27,1008.94,49.66,0.22,23.307,16.934,36.505
2020-04-28 13:54:02.793321,38.81,37.41,35.29,1008.99,49.66,0.21,28.501,15.690,47.124
2020-04-28 13:55:01.946767,38.72,37.39,35.26,1009.03,50.15,0.20,22.393,17.328,25.750
2020-04-28 13:56:02.076756,38.72,37.39,35.47,1008.97,49.17,0.19,20.074,17.318,25.636
2020-04-28 13:57:02.243039,38.79,37.38,35.74,1008.96,49.17,0.20,1031.604,818.567,1198.435
2020-04-28 13:58:02.660711,38.66,37.33,35.57,1008.94,49.66,0.20,20.945,15.401,33.061
2020-04-28 13:59:02.800013,38.39,37.12,35.99,1008.98,50.15,0.19,24.941,14.774,34.922
2020-04-28 14:00:01.905450,38.42,37.01,35.86,1009.03,49.66,0.21,22.850,16.671,29.761
2020-04-28 14:01:02.052051,38.10,36.74,36.40,1008.99,49.17,0.21,19.077,14.785,26.743
2020-04-28 14:02:02.199192,37.79,36.54,36.47,1009.00,49.17,0.23,61.194,17.687,193.587
2020-04-28 14:03:02.478495,38.02,36.65,36.57,1009.01,50.63,0.23,28.923,19.179,39.445
2020-04-28 14:04:02.648073,38.13,36.84,36.01,1008.94,49.17,0.25,31.635,23.041,45.488
2020-04-28 14:05:01.871055,37.71,36.42,36.20,1008.98,49.17,0.26,51.581,18.829,140.337
2020-04-28 14:06:02.109485,37.70,36.37,36.76,1008.95,48.20,0.24,27.068,21.765,32.704
2020-04-28 14:07:02.310214,37.86,36.50,36.59,1008.91,48.69,0.24,29.231,16.491,39.264
2020-04-28 14:08:02.478936,37.68,36.38,36.65,1008.92,50.15,0.24,24.210,15.178,33.784
2020-04-28 14:09:02.635777,37.48,36.27,36.57,1008.90,48.20,0.28,24.272,15.757,44.852
2020-04-28 14:10:02.769765,37.28,36.01,36.63,1008.87,49.17,0.29,23.380,16.615,28.365
2020-04-28 14:11:01.919825,37.44,36.07,37.07,1008.81,48.20,0.27,20.979,18.232,24.527
2020-04-28 14:12:02.049312,37.57,36.25,36.80,1008.82,47.71,0.27,25.927,17.542,33.664
2020-04-28 14:13:02.214557,37.48,36.19,36.73,1008.81,47.23,0.25,22.721,18.235,27.281
2020-04-28 14:14:02.385528,37.60,36.27,37.35,1008.83,49.17,0.25,28.374,19.558,35.763
2020-04-28 14:15:02.517233,37.48,36.17,37.04,1008.86,48.69,0.26,40.377,15.244,107.036
2020-04-28 14:16:02.710992,37.59,36.34,36.78,1008.82,48.69,0.24,22.116,15.945,25.874
2020-04-28 14:17:01.849122,37.64,36.44,36.66,1008.80,49.17,0.24,20.111,18.902,22.226
2020-04-28 14:18:01.980246,37.66,36.46,36.79,1008.84,48.69,0.24,142.711,19.668,480.021
2020-04-28 14:19:02.561310,37.62,36.37,36.60,1008.84,49.17,0.23,39.151,25.947,50.745
2020-04-28 14:20:02.763480,37.70,36.36,36.61,1008.77,48.69,0.23,33.323,15.064,78.918
2020-04-28 14:21:02.004396,37.51,36.24,36.92,1008.81,48.69,0.23,24.526,17.924,40.528
2020-04-28 14:22:02.121931,37.68,36.30,36.89,1008.80,47.71,0.23,29.567,19.097,35.378
2020-04-28 14:23:02.265189,37.73,36.37,36.80,1008.79,48.69,0.22,28.862,13.541,44.547
2020-04-28 14:24:02.410939,37.82,36.46,36.72,1008.76,49.17,0.22,38.884,20.173,85.494
2020-04-28 14:25:02.602607,37.62,36.32,36.85,1008.73,49.17,0.23,26.896,18.244,30.451
2020-04-28 14:26:02.764438,37.59,36.32,37.19,1008.74,48.20,0.22,30.642,21.886,38.759
2020-04-28 14:27:01.911552,37.57,36.69,37.36,1008.78,48.69,0.22,22.679,16.622,29.691
2020-04-28 14:28:02.042305,37.57,36.20,37.36,1008.78,48.20,0.22,47.205,25.776,92.492
2020-04-28 14:29:02.236810,37.68,36.35,37.76,1008.83,48.20,0.21,47.520,25.597,99.860
2020-04-28 14:30:02.478189,37.57,36.37,37.36,1008.83,48.20,0.22,35.592,15.835,87.913
2020-04-28 14:31:02.611113,37.49,36.34,37.01,1008.78,49.17,0.20,53.339,27.860,101.754
2020-04-28 14:32:01.863975,37.42,36.29,37.32,1008.76,47.71,0.20,34.148,16.820,82.657
2020-04-28 14:33:02.006141,37.62,36.30,37.26,1008.77,49.17,0.19,24.184,14.350,40.234
2020-04-28 14:34:02.183941,37.44,36.31,37.28,1008.81,48.69,0.18,33.000,17.149,51.893
2020-04-28 14:35:02.327060,37.60,36.32,37.53,1008.73,49.17,0.19,42.606,26.519,71.950
2020-04-28 14:36:02.629294,37.49,36.33,37.36,1008.77,48.20,0.17,21.371,16.824,25.031
2020-04-28 14:37:02.769482,37.51,36.37,37.70,1008.78,48.20,0.18,38.886,20.127,60.004
2020-04-28 14:38:01.879170,37.70,36.39,37.22,1008.75,48.20,0.18,29.804,20.858,40.919
2020-04-28 14:39:02.086944,37.53,36.26,37.60,1008.68,46.74,0.19,24.356,17.199,32.395
2020-04-28 14:40:02.223355,37.70,36.38,37.29,1008.70,47.23,0.19,23.155,20.040,29.105
2020-04-28 14:41:02.373759,37.66,36.39,37.39,1008.71,47.71,0.21,22.102,15.447,27.525
2020-04-28 14:42:02.610359,37.70,36.44,37.63,1008.72,48.69,0.20,54.283,14.167,190.603
2020-04-28 14:43:02.823231,37.66,36.47,37.19,1008.69,48.20,0.19,36.656,20.927,78.125
2020-04-28 14:44:02.004810,37.82,36.51,37.19,1008.71,48.69,0.20,26.016,15.799,37.480
2020-04-28 14:45:02.160694,37.77,36.49,37.11,1008.69,49.17,0.23,26.903,17.063,32.401
2020-04-28 14:46:02.329491,37.86,36.51,37.22,1008.67,48.69,0.23,27.053,16.123,32.533
2020-04-28 14:47:02.501822,37.77,36.49,37.62,1008.69,48.69,0.25,51.398,18.752,137.760
2020-04-28 14:48:02.649459,37.66,36.33,37.32,1008.68,49.17,0.27,33.410,18.192,60.591
2020-04-28 14:49:02.799869,37.55,36.27,37.56,1008.70,49.17,0.26,30.477,22.939,41.982
2020-04-28 14:50:01.928410,37.59,36.28,37.70,1008.65,47.23,0.27,22.631,17.816,30.956
2020-04-28 14:51:02.012194,37.66,36.34,37.56,1008.72,47.71,0.25,24.697,16.993,44.828
2020-04-28 14:52:02.171474,37.62,36.31,37.91,1008.68,47.23,0.24,27.498,15.763,49.218
2020-04-28 14:53:02.313409,37.66,36.36,37.59,1008.64,49.66,0.25,23.078,16.075,28.676
2020-04-28 14:54:02.407830,37.59,36.37,37.42,1008.63,47.23,0.24,23.890,16.754,40.882
2020-04-28 14:55:02.546405,37.60,36.35,37.83,1008.67,48.69,0.24,33.509,17.473,71.557
2020-04-28 14:56:02.730852,37.77,36.34,37.24,1008.61,47.71,0.23,24.771,16.149,44.730
2020-04-28 14:57:01.842034,37.59,36.34,36.50,1008.61,47.71,0.23,39.612,22.822,62.214
2020-04-28 14:58:02.066541,37.68,36.35,37.09,1008.62,48.69,0.22,25.022,19.375,34.424
2020-04-28 14:59:02.204422,37.64,36.34,37.44,1008.65,48.69,0.22,27.216,17.263,36.831
2020-04-28 15:00:02.414608,37.66,36.33,37.31,1008.61,48.69,0.23,22.030,18.822,26.040
2020-04-28 15:01:02.580863,37.62,36.32,37.71,1008.67,48.20,0.21,25.863,16.437,44.085
2020-04-28 15:02:02.711612,37.70,36.37,37.49,1008.67,46.74,0.23,20.983,14.428,28.941
2020-04-28 15:03:01.863325,37.62,36.38,37.36,1008.67,48.69,0.25,27.628,22.296,41.044
2020-04-28 15:04:01.986148,37.64,36.37,37.74,1008.61,48.20,0.23,16.243,13.931,19.313
2020-04-28 15:05:02.123699,37.57,36.36,37.38,1008.67,47.23,0.24,24.781,14.779,32.376
2020-04-28 15:06:02.249392,37.53,36.33,37.51,1008.62,48.20,0.22,18.548,13.825,23.869
2020-04-28 15:07:02.369219,37.66,36.38,36.96,1008.65,49.17,0.21,36.581,17.506,77.450
2020-04-28 15:08:02.540356,37.77,36.38,37.39,1008.66,47.71,0.20,24.606,16.942,31.648
2020-04-28 15:09:02.710813,37.68,36.36,37.45,1008.67,49.66,0.20,21.134,16.900,23.983
2020-04-28 15:10:01.826092,37.70,36.33,37.52,1008.73,48.20,0.21,19.590,13.605,26.075
2020-04-28 15:11:01.998598,37.73,36.37,37.35,1008.68,47.23,0.19,21.143,18.096,23.632
2020-04-28 15:12:02.201624,37.64,36.36,37.26,1008.66,48.20,0.20,23.572,14.080,31.843
2020-04-28 15:13:02.364097,37.55,36.32,37.61,1008.65,49.66,0.19,20.938,13.836,30.429
2020-04-28 15:14:02.525786,37.55,36.31,37.77,1008.68,48.20,0.18,21.554,16.786,24.895
2020-04-28 15:15:02.706471,37.57,36.31,37.50,1008.67,47.71,0.18,25.762,14.626,32.787
2020-04-28 15:16:01.828007,37.66,36.32,37.70,1008.66,48.20,0.19,22.219,17.494,34.358
2020-04-28 15:17:01.990599,37.59,36.29,37.65,1008.61,48.69,0.18,28.652,20.416,37.988
2020-04-28 15:18:02.158701,37.62,36.33,37.43,1008.64,47.71,0.18,17.601,15.471,20.004
2020-04-28 15:19:02.243528,37.53,36.30,37.48,1008.62,49.17,0.17,28.713,16.408,41.332
2020-04-28 15:20:02.348173,37.62,36.32,37.58,1008.61,47.71,0.19,16.382,14.249,18.790
2020-04-28 15:21:02.477610,37.62,36.34,37.49,1008.62,48.69,0.18,29.147,17.834,45.031
